score,num,name
7.4,102,Mercure Paris Royal Madeleine
7.7,153,Hôtel de Lille
4.1,199,Modern's Hotel
7.9,793,Audran
5.7,1323,Hipotel Paris Père-Lachaise République
7.4,376,Hotel Caravelle
7.7,519,Kyriad Paris 10 - Canal Saint Martin - République
6.6,798,Mary's Hotel
7.4,147,Hôtel Derby Eiffel
7.7,391,Hotel Vivienne
7.7,68,Familia Hotel
7.9,354,Hôtel Du Bois Champs-Elysées
7.5,320,Timhotel Tour Montparnasse
8.4,380,Europe Saint Severin-Paris Notre Dame
7.9,96,Raspail Montparnasse
7.8,32,Le Belmont Champs Elysées
6.5,532,Modern Hotel
7.1,238,Hôtel Aston
5.4,199,Marciano Hotel Gare du Nord
6.1,834,Nouvel Hôtel Paris 18
7.6,118,Paris Marriott Rive Gauche Hotel & Conference Center
6.4,95,Apartment Paris 11e Bastille
7.8,89,Le A
8.8,184,Residence Henri IV
7.4,117,Millennium Hotel Paris Opera
7.5,380,Hôtel Prince Albert Concordia
8.6,117,Hotel Le Petit Paris
7.9,268,Hotel Louvre Rivoli
6.5,357,Nouvel Hôtel Eiffel
8.6,220,Grand Hôtel Malher
7.0,393,Hotel Celtic
7.9,350,Villa Modigliani
7.2,285,Appia La Fayette
6.1,621,Faubourg 216-224
8.8,108,Hotel Chavanel
6.8,47,Villa Margaux Opéra Montmartre
7.9,132,Mercure Paris Opera Garnier
7.7,258,Timhotel Paris Gare de l'Est
6.5,176,Hôtel Des Canettes
7.3,565,Saphir Grenelle
7.7,145,Elysées Hôtel
7.0,226,Hotel Aurore Montmartre
7.8,325,Hotel du Dragon
7.2,229,Hotel Hi Matic
5.4,308,Hôtel Central Bastille
7.7,254,Alizé Grenelle Tour Eiffel
6.8,232,Apartment Paris 2ème Opéra
7.2,672,Hotel Royal Phare
8.5,218,Hotel de la Bretonnerie
6.4,266,Apartment Paris 3ème
7.5,108,Hotel Best Western Opéra Grands Boulevards
7.9,230,Citadines Montmartre Paris
7.0,362,Hotel Opéra Drouot
8.1,104,Conde Chic Studio
7.3,274,Hôtel Malar
7.8,341,Baldi
7.0,278,Hôtel Tour Eiffel
8.3,285,Hôtel Beaubourg
6.2,584,Vintimille Hotel
8.1,815,Palym
7.7,88,Mercure Paris Opera Cusset
7.5,508,Maison Du Pré
7.9,32,Hôtel Konfidentiel - Paris
7.5,363,Alyss Saphir Cambronne Eiffel
7.7,259,Hotel Lyon Bastille
8.1,454,Hotel Le Richemont
8.0,134,Atelier Saint Germain Hotel
7.5,29,Hotel de la Tulipe
8.9,68,L'Hôtel
7.9,254,Saint Augustin Elysées - Astotel
7.5,468,Neptune
6.8,129,Hôtel Gérando
7.4,583,Hôtel Alexandrine Opéra
8.7,67,Hôtel Thoumieux
7.5,236,Best Western Hotel Le Montparnasse
8.3,371,Fred'Hotel
7.7,53,Saint Thomas d'Aquin
7.8,168,Mercure Paris Gare Montparnasse
7.7,50,Hotel Le Saint Gregoire
7.6,95,Holiday Inn Paris Elysées
7.7,120,Hotel Taylor
7.8,72,Mercure Paris Monty Opéra
6.5,352,Eiffel Petit Louvre
8.3,258,Monceau Elysées
7.0,166,Grand Hôtel de Clermont
7.9,136,Mercure Voltaire Bastille
6.4,205,Hotel Migny Opéra Montmartre
7.0,265,Hotel Parisiana
7.0,161,Modern Hôtel Montmartre
6.2,57,Inter-Hotel Du Calvados
7.1,175,Saint Georges Lafayette
8.3,49,Victoria Palace Hotel
7.6,16,Private apartments - Saint Germain - Odéon
8.6,29,Studios Avenue des Champs Elysées
6.9,304,Hotel des Vosges
9.0,271,Secret De Paris - Design Boutique Hotel
8.4,104,Le 123 Elysees - Astotel
8.3,140,The Five Hotel
7.2,306,Hôtel Du Midi Gare de Lyon
8.3,585,La Maison Montparnasse
6.2,93,La Vieille France
8.1,37,Adagio Access Paris Reuilly
8.5,69,Hôtel de Latour Maubourg
8.4,278,Banke Hôtel
7.7,2275,Mercure Paris Terminus Nord
7.6,1215,Hotel Choiseul Opera
